street,avec_hebergement,sum(nb_visiteurs_max)
batcrueravez,0,110
placedesquinconcesetrueduchateautrompette,0,0
ruelucienfaureetruebourbon,0,704
vlodrome,0,0
alleelouisratabou,N,1880
allesdorlans,0,23
ruejudaque,0,382
avenuelucienfaure,N,0
placemeunier,0,0
coursdequbecavenueandrreinson,0,10614
ruecastelnaudaurosruejudaique,0,129
ruedujardinpublicbp,0,290
quaidequeyriesparcauxangliques,0,6
quaidesqueyriesruedeserr,0,120
ruesaintsimeon,0,34
secteurcarreire,0,0
rueedmondmichelet,N,76
boulevradantoinegautier,0,0
ruerigoulet,N,36
ruedelabechade,0,1147
coursbalgueriestuttenbergavlfaure,0,102
bisruelatour,0,49
ruedumarchaljoffre,0,199
coursdumarchalgallini,0,228
avenuedeysines,0,1369
coursgclmenceau,0,15
ruefrere,N,81
ruepremeynard,0,64
patinoiremriadeck,0,0
placerenaudel,0,0
ruelaroche,1,13
ruelonpallirebldjeanjacquesbosc,0,293
bisruefrancoisdesourdis,N,62
ruejeansamazeuilh,0,464102
rueraymondpoincareetboulevardjulessimon,0,150
impassesaintjean,0,51
ruedelafaiencerie,0,1221
ruedugeneraldelarminat,N,199
placerenaudeletsquaredombedos,N,0
espacesaintrmi,0,0
coursdumarechaljuin,1,799
courspasteur,N,36
ruegustavecarde,0,405
rueduchreaudeau,0,0
ruebelorme,0,0
ruebrizard,N,593
quaidebrazzailta,0,95
ruedufils,0,164
ruevitalmareille,0,95
placedeleuropeetruedesfrresportmann,0,250
rueespritsdeslois,N,4
ruedutauzin,0,0
rueclaire,0,12
hangarlotn,0,19
centrecommercialeurope,0,17
ruebarreyre,0,146
avenueabadieruegustavecarderueserr,0,3004
ruedutempspasse,0,107
ruestcatherine,0,722
placetourny,0,240
ruerobertschuman,0,370
rueraymondpoincare,0,902
rueprosper,0,3
ruemarcelachard,0,264
ruecalve,0,41
ruelafauriedemonbadon,0,580
ruedelarole,0,0
avenuedugeneraldelarminat,0,255
citdutrey,0,12
rueleonblum,0,589
ruebobillot,0,520
ruedestrangers,0,55
ruedesfreresbonie,0,908
rueduserpolet,0,20
ruecroixdeseguey,0,1186
avenuslouisbarthou,0,10
bdpresidentwilson,0,2131
logenbis,0,24
ruedutauzinruedebethmann,0,189
citleydetcoursdelasomme,1,100
courscharlesbricaudetrueduvergne,0,0
ruedesagetetdetauzia,0,10
ruedonissan,N,0
ruepaullouislande,N,86
ruedelafauriedemonbadon,0,11
crsgeorgesclemenceaucrsintendance,0,117
ruejeancroixtreyeran,0,24
ruedessablires,0,80
ruemichelmontaigne,0,89
ruedudrnancelpnard,0,0
angleruejulesferryruedumoulinrouge,0,94
bisruefurtado,0,5
biscrsdelamarne,0,250
jardinpublic,0,1413
ruefondaudge,N,3
bisruejudaique,0,243
coursdumarechalgallieni,N,50
ruekleber,0,270
ruedunant,0,22
ruecroixdesguey,0,0
bldpresidentwilson,0,46
rueandredumercq,0,40
"",0,29100
avenuedelabarde,0,7560
coursbalgueriestuttenberg,0,5892
ruelouisgendreauccommercialgrandparc,0,13
ruelucienfaurehangarglotsaeta,0,266
ruejosephfaure,0,102
avenuedelapalu,0,0
placeduparlement,0,501
ruedetalence,0,179
boulevardgodardetruedrfinlay,1,289
acrsmarechalgallieni,0,103
saumenude,0,60
ruegeorgesbarres,0,233
ruefondaudge,0,592
ruejeangabrieldomergue,N,12932
rueabbedelepee,0,784
ruelafontaine,0,66
courstournon,0,18
rueemilecounord,0,8
ruelouismie,0,118
ruecharlesdomercqresidetendard,0,25
ruedudocteuralbertschweitzer,0,317
ruecatherineetwilliambooth,0,92
etpassagedelagaleriebordelaises,0,40
alleesdeboutautilot,0,0
placedescedres,1,11
ruecabirol,0,15
ruedarbon,0,199
ruecarlevernet,N,30
ruetiffonet,0,123
boulevardgodard,0,1743
etcoursdelasomme,0,23
ruesthelin,0,19
quaidebrienneruedelalouisiane,0,49
ruemarcelissartier,0,170
ruemartignac,0,115
bisesplanadecharlesdegaulle,0,23
bdjulessimonruebeaudrimont,0,140
ruestehelinruedomion,0,150
placefernandlafargue,N,67
ruemauriac,0,46
ruecondillac,0,103
quailawton,0,626
ruedutauzinruedebethmann,N,132
ruesdomionetstehelin,0,680
ruedesegur,0,45
acoursxavierarnozan,0,140
ruedelglisedecauderan,0,19
placedelaplacederichemont,0,0
bisetterplacejeancayrol,0,14
ruesteeugenie,0,48
rueburtghaudangleruedunant,0,66
ruemargaux,0,2075
unionsaintbrunorenaudgaucherruebrizard,0,0
ruecabanacruebacninh,0,190
rueedmondlabasse,0,31
ruestecolomberueneuve,0,50
ruestehelin,N,36
rueduprofesseurlavignolle,0,20
quailouisxviiifacejeanjaures,0,676
ruedocteuralbertschweitzer,0,140
ruebougainville,0,12
avenuereinson,0,12651
placedemoscouruepasteur,0,11
avenuecharlesdegaulle,0,6823
